chrom,method,task,metric,value,n_pos,n_total
chr1,biPangolin_k0,acceptor,pr_auc,0.6072206491587427,16041,134872235
chr1,biPangolin_k0,acceptor,roc_auc,0.997371879297757,16041,134872235
chr1,biPangolin_k0,acceptor,top_n_recall,0.6111215011532947,16041,134872235
chr1,biPangolin_k0,acceptor,top_n_precision,0.6111215011532947,16041,134872235
chr1,biPangolin_k0,donor,pr_auc,0.6230696647391669,15943,134872235
chr1,biPangolin_k0,donor,roc_auc,0.9966520239796202,15943,134872235
chr1,biPangolin_k0,donor,top_n_recall,0.6465533462961801,15943,134872235
chr1,biPangolin_k0,donor,top_n_precision,0.6465533462961801,15943,134872235
chr1,biPangolin_k0,any_site,pr_auc,0.00026527142703646676,31984,134872235
chr1,biPangolin_k0,any_site,roc_auc,0.5234282570132051,31984,134872235
chr1,biPangolin_k0,any_site,top_n_recall,0.0006878439219609805,31984,134872235
chr1,biPangolin_k0,any_site,top_n_precision,0.0006878439219609805,31984,134872235
chr1,biPangolin_k0,3class_argmax,accuracy_all,0.00023677964556604255,31984,134872235
chr1,biPangolin_k0,3class_argmax,accuracy_at_truesites,0.998467983991996,31984,134872235
chr1,biPangolin_k1,acceptor,pr_auc,0.7395847543323718,16041,134872235
chr1,biPangolin_k1,acceptor,roc_auc,0.9986648905781736,16041,134872235
chr1,biPangolin_k1,acceptor,top_n_recall,0.707250171435696,16041,134872235
chr1,biPangolin_k1,acceptor,top_n_precision,0.707250171435696,16041,134872235
chr1,biPangolin_k1,donor,pr_auc,0.7251106860273228,15943,134872235
chr1,biPangolin_k1,donor,roc_auc,0.998305500774161,15943,134872235
chr1,biPangolin_k1,donor,top_n_recall,0.6981747475381045,15943,134872235
chr1,biPangolin_k1,donor,top_n_precision,0.6981747475381045,15943,134872235
chr1,biPangolin_k1,any_site,pr_auc,0.7323481572238374,31984,134872235
chr1,biPangolin_k1,any_site,roc_auc,0.9977080648655541,31984,134872235
chr1,biPangolin_k1,any_site,top_n_recall,0.7031640820410205,31984,134872235
chr1,biPangolin_k1,any_site,top_n_precision,0.7031640820410205,31984,134872235
chr1,biPangolin_k1,3class_argmax,accuracy_all,0.9984702262848985,31984,134872235
chr1,biPangolin_k1,3class_argmax,accuracy_at_truesites,0.9474424712356178,31984,134872235
chr1,biPangolin_k10,acceptor,pr_auc,0.739599974841582,16041,134872235
chr1,biPangolin_k10,acceptor,roc_auc,0.998676217675754,16041,134872235
chr1,biPangolin_k10,acceptor,top_n_recall,0.7074995324481017,16041,134872235
chr1,biPangolin_k10,acceptor,top_n_precision,0.7074995324481017,16041,134872235
chr1,biPangolin_k10,donor,pr_auc,0.7251594228509137,15943,134872235
chr1,biPangolin_k10,donor,roc_auc,0.9983025707130542,15943,134872235
chr1,biPangolin_k10,donor,top_n_recall,0.6981747475381045,15943,134872235
chr1,biPangolin_k10,donor,top_n_precision,0.6981747475381045,15943,134872235
chr1,biPangolin_k10,any_site,pr_auc,0.7323503036357413,31984,134872235
chr1,biPangolin_k10,any_site,roc_auc,0.9977080752735773,31984,134872235
chr1,biPangolin_k10,any_site,top_n_recall,0.7031640820410205,31984,134872235
chr1,biPangolin_k10,any_site,top_n_precision,0.7031640820410205,31984,134872235
chr1,biPangolin_k10,3class_argmax,accuracy_all,0.9996563488400707,31984,134872235
chr1,biPangolin_k10,3class_argmax,accuracy_at_truesites,0.8498311655827914,31984,134872235
chr1,biPangolin_k100,acceptor,pr_auc,0.7396011618640023,16041,134872235
chr1,biPangolin_k100,acceptor,roc_auc,0.9986772110018358,16041,134872235
chr1,biPangolin_k100,acceptor,top_n_recall,0.7075618727012032,16041,134872235
chr1,biPangolin_k100,acceptor,top_n_precision,0.7075618727012032,16041,134872235
chr1,biPangolin_k100,donor,pr_auc,0.7251621251541851,15943,134872235
chr1,biPangolin_k100,donor,roc_auc,0.9983015808919947,15943,134872235
chr1,biPangolin_k100,donor,top_n_recall,0.6981747475381045,15943,134872235
chr1,biPangolin_k100,donor,top_n_precision,0.6981747475381045,15943,134872235
chr1,biPangolin_k100,any_site,pr_auc,0.7323500251076838,31984,134872235
chr1,biPangolin_k100,any_site,roc_auc,0.9977071243920148,31984,134872235
chr1,biPangolin_k100,any_site,top_n_recall,0.7031640820410205,31984,134872235
chr1,biPangolin_k100,any_site,top_n_precision,0.7031640820410205,31984,134872235
chr1,biPangolin_k100,3class_argmax,accuracy_all,0.9998703365448048,31984,134872235
chr1,biPangolin_k100,3class_argmax,accuracy_at_truesites,0.6562656328164082,31984,134872235
chr1,biPangolin_k502,acceptor,pr_auc,0.7396028072116507,16041,134872235
chr1,biPangolin_k502,acceptor,roc_auc,0.9986771897923306,16041,134872235
chr1,biPangolin_k502,acceptor,top_n_recall,0.7075618727012032,16041,134872235
chr1,biPangolin_k502,acceptor,top_n_precision,0.7075618727012032,16041,134872235
chr1,biPangolin_k502,donor,pr_auc,0.7251635440961256,15943,134872235
chr1,biPangolin_k502,donor,roc_auc,0.9983012327486582,15943,134872235
chr1,biPangolin_k502,donor,top_n_recall,0.6981747475381045,15943,134872235
chr1,biPangolin_k502,donor,top_n_precision,0.6981747475381045,15943,134872235
chr1,biPangolin_k502,any_site,pr_auc,0.7323473167141049,31984,134872235
chr1,biPangolin_k502,any_site,roc_auc,0.9976976732185254,31984,134872235
chr1,biPangolin_k502,any_site,top_n_recall,0.7031640820410205,31984,134872235
chr1,biPangolin_k502,any_site,top_n_precision,0.7031640820410205,31984,134872235
chr1,biPangolin_k502,3class_argmax,accuracy_all,0.999859867377448,31984,134872235
chr1,biPangolin_k502,3class_argmax,accuracy_at_truesites,0.46935967983991994,31984,134872235
chr1,biPangolin_k1000,acceptor,pr_auc,0.7396024005129592,16041,134872235
chr1,biPangolin_k1000,acceptor,roc_auc,0.9986771578858493,16041,134872235
chr1,biPangolin_k1000,acceptor,top_n_recall,0.7075618727012032,16041,134872235
chr1,biPangolin_k1000,acceptor,top_n_precision,0.7075618727012032,16041,134872235
chr1,biPangolin_k1000,donor,pr_auc,0.7251619436689235,15943,134872235
chr1,biPangolin_k1000,donor,roc_auc,0.9983011236623849,15943,134872235
chr1,biPangolin_k1000,donor,top_n_recall,0.6981747475381045,15943,134872235
chr1,biPangolin_k1000,donor,top_n_precision,0.6981747475381045,15943,134872235
chr1,biPangolin_k1000,any_site,pr_auc,0.7323516625338206,31984,134872235
chr1,biPangolin_k1000,any_site,roc_auc,0.9976992014663177,31984,134872235
chr1,biPangolin_k1000,any_site,top_n_recall,0.7031640820410205,31984,134872235
chr1,biPangolin_k1000,any_site,top_n_precision,0.7031640820410205,31984,134872235
chr1,biPangolin_k1000,3class_argmax,accuracy_all,0.9998372385539545,31984,134872235
chr1,biPangolin_k1000,3class_argmax,accuracy_at_truesites,0.3488306653326663,31984,134872235
chr1,biPangolin_psi_k0,acceptor,pr_auc,0.6708710197919876,16041,134872235
chr1,biPangolin_psi_k0,acceptor,roc_auc,0.9974542314898859,16041,134872235
chr1,biPangolin_psi_k0,acceptor,top_n_recall,0.6536375537684683,16041,134872235
chr1,biPangolin_psi_k0,acceptor,top_n_precision,0.6536375537684683,16041,134872235
chr1,biPangolin_psi_k0,donor,pr_auc,0.5909993319212902,15943,134872235
chr1,biPangolin_psi_k0,donor,roc_auc,0.9966753991107561,15943,134872235
chr1,biPangolin_psi_k0,donor,top_n_recall,0.6039641221852851,15943,134872235
chr1,biPangolin_psi_k0,donor,top_n_precision,0.6039641221852851,15943,134872235
chr1,biPangolin_psi_k0,any_site,pr_auc,0.00026527142703646676,31984,134872235
chr1,biPangolin_psi_k0,any_site,roc_auc,0.5234282570132051,31984,134872235
chr1,biPangolin_psi_k0,any_site,top_n_recall,0.0006878439219609805,31984,134872235
chr1,biPangolin_psi_k0,any_site,top_n_precision,0.0006878439219609805,31984,134872235
chr1,biPangolin_psi_k0,3class_argmax,accuracy_all,0.00023677223114156891,31984,134872235
chr1,biPangolin_psi_k0,3class_argmax,accuracy_at_truesites,0.9984367183591796,31984,134872235
chr1,biPangolin_psi_k1,acceptor,pr_auc,0.7413314394972436,16041,134872235
chr1,biPangolin_psi_k1,acceptor,roc_auc,0.9986644789919171,16041,134872235
chr1,biPangolin_psi_k1,acceptor,top_n_recall,0.7104295243438689,16041,134872235
chr1,biPangolin_psi_k1,acceptor,top_n_precision,0.7104295243438689,16041,134872235
chr1,biPangolin_psi_k1,donor,pr_auc,0.7431228955012883,15943,134872235
chr1,biPangolin_psi_k1,donor,roc_auc,0.9984053157254305,15943,134872235
chr1,biPangolin_psi_k1,donor,top_n_recall,0.7097785862133852,15943,134872235
chr1,biPangolin_psi_k1,donor,top_n_precision,0.7097785862133852,15943,134872235
chr1,biPangolin_psi_k1,any_site,pr_auc,0.741874005754551,31984,134872235
chr1,biPangolin_psi_k1,any_site,roc_auc,0.9978033560678715,31984,134872235
